"scenario","avg_price","avg_qty"
"zero",3.71663336215678,8115.32632761582
"p1nodisp",4.40783810102712,1683.46535756844
"p1full",4.41485412134999,1597.25397380685
"p2nodisp",4.4427223756165,1250.92055699379
"p2full",4.45680611531565,1074.78967295096
